"filename", "language", "YAML", "Dart", "JSON", "Markdown", "HTML", "Groovy", "C++", "Properties", "Swift", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 3, 13, 72
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\google-services.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 11, 1, 42
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\main\kotlin\com\example\enetcom_app\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
