"filename", "language", "Dart", "Kotlin", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\home screen\widgets\td_tile.dart", "Dart", 2, 0, 0, 0, 0, 2
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\home screen\widgets\teacher_category_list.dart", "Dart", 38, 0, 0, 0, 5, 43
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\login_screen.dart", "Dart", 11, 0, 0, 0, -1, 10
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\profile_screen.dart", "Dart", 164, 0, 0, 2, 6, 172
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\splash_screen.dart", "Dart", 35, 0, 0, 1, 2, 38
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\student_root_app.dart", "Dart", 0, 0, 0, 0, -1, -1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\teacher_root_app.dart", "Dart", -163, 0, 0, 0, -9, -172
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\user_dashboard.dart", "Dart", 133, 0, 0, 1, 4, 138
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\users_screen.dart", "Dart", 15, 0, 0, -5, 0, 10
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\welcome_admin_screen.dart", "Dart", 110, 0, 0, 0, 4, 114
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\welcome_student_screen.dart", "Dart", 1, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\build_menu_item_box.dart", "Dart", 47, 0, 0, 0, 2, 49
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\category_list.dart", "Dart", -38, 0, 0, 0, -5, -43
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\post_container.dart", "Dart", -260, 0, 0, -7, -14, -281
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\profile_avatar.dart", "Dart", 1, 0, 0, -19, -1, -19
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\profile_image_widget.dart", "Dart", -72, 0, 0, 90, 1, 19
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\profile_info_tile.dart", "Dart", 1, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\shimmer_widget.dart", "Dart", 30, 0, 0, 0, 4, 34
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\user_card_container.dart", "Dart", -16, 0, 0, 16, 0, 0
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\user_profile_info_tile.dart", "Dart", 149, 0, 0, 0, 6, 155
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\widgets\widgets.dart", "Dart", -1, 0, 0, 0, 0, -1
"Total", "-", 2532, 4, -93, -13, 125, 2555
