"filename", "language", "Markdown", "JSON", "Dart", "HTML", "YAML", "XML", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\menu2.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\menu3.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\music.svg", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\pdf-file-10147.svg", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\stage.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\stage1.svg", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\student.svg", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 33
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\student1.svg", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 49
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\tiemtable0.svg", "XML", 0, 0, 0, 0, 0, 589, 0, 0, 0, 0, 0, 1, 590
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\time.svg", "XML", 0, 0, 0, 0, 0, 589, 0, 0, 0, 0, 0, 1, 590
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\timetable.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 7
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\timetable1.svg", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\timetable3.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\category\tp.svg", "XML", 0, 0, 0, 0, 0, 505, 0, 0, 0, 0, 0, 1, 506
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\icons\group.svg", "XML", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 1, 1, 81
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\icons\home.svg", "XML", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 1, 53
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\icons\logout.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\icons\logoutdoor.svg", "XML", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 1, 1, 59
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 1, 58
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\icons\notification.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\icons\profile.svg", "XML", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 1, 58
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\icons\profile1.svg", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\chat.svg", "XML", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 1, 0, 135
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\classroom_student.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\coming.svg", "XML", 0, 0, 0, 0, 0, 5073, 0, 0, 0, 0, 0, 1, 5074
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\coming_soon.svg", "XML", 0, 0, 0, 0, 0, 5073, 0, 0, 0, 0, 0, 1, 5074
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\facebook.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\google_plus.svg", "XML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 1, 48
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\login.svg", "XML", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 1, 0, 152
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\signup.svg", "XML", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 1, 0, 81
